fromId,toId,walk_time
06085503703,06085503708,59
06085503703,06085503336,106
06085503703,06085501200,79
06085503703,06085501501,54
06085503703,06085501600,79
06085503703,06085503111,69
06085503703,06085503712,41
06085503703,06085501502,61
06085503703,06085503113,91
06085503703,06085504319,81
06085503703,06085503711,16
06085503703,06085503321,71
06085503703,06085503509,74
06085503703,06085503112,71
06085503703,06085503508,55
06085503703,06085501000,95
06085503703,06085504321,116
06085503703,06085503315,97
06085503703,06085504101,69
06085503703,06085503122,95
06085503703,06085504001,44
06085503703,06085503506,30
06085503703,06085504317,106
06085503703,06085503504,25
06085503703,06085501700,98
06085503703,06085500901,87
06085503703,06085503902,75
06085503703,06085504316,104
06085503703,06085504102,61
06085503703,06085504311,112
06085503703,06085504201,98
06085503703,06085503304,80
06085503703,06085500800,109
06085503703,06085504002,25
06085503703,06085503337,108
06085503703,06085503325,113
06085503703,06085503709,63
06085503703,06085501102,88
06085503703,06085503802,99
06085503703,06085503803,95
06085503703,06085503213,110
06085503703,06085501101,106
06085503703,06085503804,81
06085503703,06085501300,70
06085503703,06085503322,91
06085503703,06085504307,110
06085503703,06085503903,61
06085503703,06085503305,74
06085503703,06085503602,26
06085503703,06085501800,114
06085503105,06085503306,87
06085503105,06085503108,118
06085503105,06085503401,54
06085503105,06085503110,27
06085503105,06085503118,44
06085503105,06085503703,56
06085503105,06085503105,0
06085503105,06085503710,81
06085503105,06085503211,69
06085503105,06085500902,46
06085503105,06085501402,50
06085503105,06085503121,58
06085503105,06085503001,118
06085503105,06085501401,65
06085503105,06085503511,97
06085503105,06085503402,72
06085503105,06085503601,82
06085503105,06085503507,64
06085503105,06085503713,103
06085503105,06085503510,88
06085503105,06085503117,25
06085503105,06085503218,113
06085503105,06085500100,91
06085503105,06085503707,98
06085503105,06085503212,84
06085503105,06085503708,112
06085503105,06085503210,112
06085503105,06085501200,66
06085503105,06085501501,41
06085503105,06085501600,34
06085503105,06085503111,52
06085503105,06085503712,95
06085503105,06085501502,37
06085503105,06085503113,46
06085503105,06085503123,80
06085503105,06085503711,67
06085503105,06085503321,116
06085503105,06085503509,120
06085503105,06085503112,26
06085503105,06085503217,100
06085503105,06085503508,103
06085503105,06085501000,68
06085503105,06085503207,109
06085503105,06085500200,101
06085503105,06085504101,120
06085503105,06085503122,43
06085503105,06085502102,118
06085503105,06085504001,96
06085503105,06085503506,77
06085503105,06085503204,93
